Index,time,price,Pred_1h,Pred_4h,Pred_12h,Pred_24h,Pred_48h,Position_1h,Position_4h,Position_12h,Position_24h,Position_48h,Return_1h,Return_4h,Return_12h,Return_24h,Return_48h,Total_Return 1h,Total_Return_4h,Total_Return_12h,Total_Return_24h,Total_Return_48h,Unnamed: 23
0,18/05/2022 21:55:56,28838.86,-0.02317076,-0.0373546261,-0.0221151626,0.0258458567,0.0136452968,-0.0086844213,-0.0086844213,-0.0086844213,0.0086844213,0.0086844213,1.2978978837,,,,,,,,,,
1,18/05/2022 22:55:57,29051.78,0.0006504029,0.0186648927,0.0006519795,-0.0004924043,0.0074710614,0.0085639549,0.0085639549,0.0085639549,-0.0085639549,0.0085639549,,,,,,,,,,,
2,18/05/2022 23:55:53,29190.17,-0.0027580418,0.040759057,0.0037255885,-0.0160606366,-0.0234675951,-0.0085619371,0.0085619371,0.0085619371,-0.0085619371,-0.0085619371,,,,,,,,,,,
3,19/05/2022 00:55:52,29122.33,0.0282017626,0.0642402132,0.0051862114,0.0222546786,-0.0357152262,0.0085885596,0.0085885596,0.0085885596,0.0085885596,-0.0085885596,,,,,,,,,,,
4,19/05/2022 01:55:52,29052.94,-0.0037136284,0.0418726929,0.0063068038,-0.0110074506,0.0758836404,-0.0085982955,0.0085982955,0.0085982955,-0.0085982955,0.0085982955,,,,,,,,,,,
5,19/05/2022 02:55:52,29267.12,0.0033798133,-0.0342189149,-0.0134543627,-0.0366816098,-0.0520003069,0.0085249283,-0.0085249283,-0.0085249283,-0.0085249283,-0.0085249283,,,,,,,,,,,
6,19/05/2022 03:55:53,29155.36,-0.0147599883,0.0533398382,-0.0091465136,-0.003844154,-0.0217288485,-0.0085608229,0.0085608229,-0.0085608229,-0.0085608229,-0.0085608229,,,,,,,,,,,
7,19/05/2022 04:55:53,29018.56,0.0159140935,0.0300206844,0.0062284892,0.0026912391,-0.0158742457,0.0086291194,0.0086291194,0.0086291194,0.0086291194,-0.0086291194,,,,,,,,,,,
8,19/05/2022 05:55:54,29042.07,-0.0066614495,0.0189116077,-0.0037379867,-0.0405618064,-0.028082384,-0.0086207342,0.0086207342,-0.0086207342,-0.0086207342,-0.0086207342,,,,,,,,,,,
9,19/05/2022 06:55:54,29207.43,0.0076959091,-0.0293761148,0.0074992106,0.0203474676,0.0228232856,0.0085601781,-0.0085601781,0.0085601781,0.0085601781,0.0085601781,,,,,,,,,,,
